#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1403715275362142976,0.880602,2.18364,0.948613,0.0684904,-0.824699,-0.107756,-0.550972,-0.000482433,0.00119068,-0.00191756,-0.00226602,0.0215347,0.0769686,-0.0129054,0.0544675,0.0434114
1403715275412143104,0.880533,2.18368,0.948566,0.0685052,-0.824695,-0.107748,-0.550977,-0.00241454,0.00118945,-0.00070835,-0.00226696,0.0215349,0.0769657,-0.013152,0.0546211,0.0434453
1403715275462142976,0.880403,2.1837,0.948546,0.0685098,-0.824669,-0.10774,-0.551017,-0.00270777,0.000290178,0.000357051,-0.00226788,0.0215351,0.0769628,-0.0134552,0.0548058,0.0433633
1403715275512142848,0.880272,2.18374,0.948545,0.0685202,-0.824673,-0.107694,-0.551018,-0.00239778,-0.000747248,0.00101732,-0.00226879,0.0215354,0.0769599,-0.0137472,0.0550444,0.0432402
1403715275562142976,0.880127,2.18372,0.94853,0.0685368,-0.824665,-0.107639,-0.55104,-0.0028813,-0.00188517,-0.000137967,-0.00226969,0.0215357,0.076957,-0.0139881,0.0553381,0.0431099
1403715275612143104,0.879953,2.18367,0.948519,0.0685199,-0.824703,-0.107618,-0.550989,-0.00358232,-0.00125535,0.000164203,-0.00227059,0.021536,0.076954,-0.0141695,0.055678,0.0429839
1403715275662142976,0.879771,2.18365,0.948525,0.0685713,-0.824713,-0.10758,-0.550974,-0.00336484,0.000459833,-0.00137467,-0.0022715,0.0215364,0.0769511,-0.014328,0.0560538,0.0428479
1403715275712142848,0.87963,2.18366,0.948505,0.0686383,-0.82472,-0.107613,-0.55095,-0.00260595,0.00163936,-0.00079986,-0.0022724,0.0215368,0.0769482,-0.0144792,0.0564622,0.0427354
1403715275762142976,0.879521,2.18366,0.948495,0.0686861,-0.824738,-0.107591,-0.550921,-0.00219208,0.000366076,-0.000385687,-0.0022733,0.0215371,0.0769454,-0.0146074,0.0569191,0.0427171
1403715275812143104,0.879465,2.18362,0.948493,0.0687062,-0.824744,-0.107551,-0.550917,-0.000520767,-0.000936307,0.000409731,-0.00227418,0.0215376,0.0769425,-0.0147098,0.057414,0.0428318
1403715275862142976,0.879455,2.18357,0.948547,0.0687217,-0.824636,-0.107532,-0.551081,-0.000115863,-0.00261383,0.0025161,-0.00227507,0.021538,0.0769396,-0.0147992,0.0579692,0.0430594
1403715275912143104,0.87944,2.18353,0.948648,0.0686862,-0.824584,-0.107481,-0.551172,-0.00072175,-0.000484097,0.00241194,-0.00227597,0.0215385,0.0769368,-0.0149176,0.0585936,0.0433316
1403715275962142976,0.879331,2.18349,0.948868,0.0687548,-0.824258,-0.107456,-0.551657,-0.00229005,-0.000549514,0.00139497,-0.00227687,0.021539,0.0769339,-0.0150982,0.059251,0.0436127
1403715276012142848,0.879322,2.18349,0.948983,0.0688149,-0.824228,-0.107328,-0.551719,0.000514526,-0.00222084,0.00186286,-0.00227775,0.0215395,0.076931,-0.0153253,0.059907,0.0438969
1403715276062142976,0.879321,2.18353,0.948978,0.0687251,-0.824387,-0.107413,-0.551475,0.00147859,0.000445878,-0.00637516,-0.0022786,0.02154,0.076928,-0.015575,0.0605152,0.0441483
1403715276112143104,0.879365,2.18358,0.948769,0.0687478,-0.824576,-0.107434,-0.551186,-0.00119781,-0.00152789,-0.00362433,-0.00227943,0.0215405,0.0769251,-0.0158031,0.0610536,0.0443712
1403715276162142976,0.879246,2.18361,0.948565,0.0688918,-0.824521,-0.10728,-0.551281,-0.00199096,-0.000637391,-0.00259996,-0.00228025,0.0215411,0.0769223,-0.0159744,0.0615572,0.0446079
1403715276212142848,0.879188,2.18363,0.948455,0.0688123,-0.824579,-0.107366,-0.551186,-0.000311954,0.000306293,-0.00121979,-0.00228106,0.0215417,0.0769195,-0.0160736,0.0620651,0.0449406
1403715276262142976,0.879241,2.18365,0.948346,0.0688647,-0.824604,-0.107274,-0.551162,0.00209392,-0.00246897,-0.00326216,-0.00228188,0.0215424,0.0769166,-0.0161001,0.062621,0.0453955
1403715276312143104,0.879366,2.18363,0.948218,0.0688361,-0.824657,-0.107281,-0.551083,0.00259068,-0.000980257,-0.00158091,-0.00228272,0.0215431,0.0769138,-0.0160832,0.0632531,0.0459307
1403715276362142976,0.879484,2.18363,0.948219,0.0688308,-0.824702,-0.107265,-0.55102,0.00177826,-0.00130237,0.00284174,-0.00228356,0.0215438,0.0769109,-0.0160541,0.0639477,0.0464792
1403715276412143104,0.879573,2.18366,0.948273,0.0688277,-0.824752,-0.107259,-0.550947,0.00165661,0.00127925,0.000489844,-0.00228441,0.0215445,0.0769081,-0.0160223,0.0646943,0.0470035
1403715276462142976,0.879626,2.1837,0.948351,0.0687934,-0.824713,-0.107252,-0.55101,0.000544337,-0.000691544,0.000887681,-0.00228528,0.0215452,0.0769052,-0.016015,0.0654639,0.0474521
1403715276512142848,0.879568,2.18373,0.948648,0.0690171,-0.824485,-0.107205,-0.551333,-0.00178018,-0.00356175,0.0082109,-0.00228615,0.021546,0.0769023,-0.0160371,0.0662516,0.0478173
1403715276562142976,0.879577,2.18368,0.948919,0.0689183,-0.824567,-0.107134,-0.551237,0.00158558,0.00360265,0.00207477,-0.00228704,0.0215468,0.0768995,-0.0160769,0.0670738,0.0481365
1403715276612143104,0.87966,2.18366,0.948844,0.0688662,-0.824705,-0.107133,-0.551036,0.00123851,0.000904402,-0.00379614,-0.00228796,0.0215476,0.0768966,-0.0161624,0.0679524,0.0484053
1403715276662142976,0.879667,2.18365,0.94874,0.0689029,-0.824726,-0.107094,-0.551008,-0.00159242,-0.00116255,-0.00138039,-0.00228891,0.0215485,0.0768938,-0.0163397,0.0688946,0.0485634
1403715276712142848,0.879518,2.18363,0.94882,0.0689045,-0.824646,-0.107154,-0.551116,-0.00449345,-0.00159275,0.00338903,-0.00228984,0.0215493,0.0768909,-0.0166136,0.0699147,0.048573
1403715276762142976,0.879328,2.18351,0.948941,0.0690823,-0.824531,-0.107075,-0.551282,-0.00234325,-0.00380024,-0.00028139,-0.00229078,0.0215502,0.0768881,-0.0169384,0.0710247,0.0484081
1403715276812143104,0.879281,2.18337,0.948948,0.0690908,-0.824657,-0.107004,-0.551105,0.000452582,-0.00306531,0.00253666,-0.00229172,0.0215511,0.0768852,-0.0173037,0.0722233,0.0480411
1403715276862142976,0.879216,2.18324,0.949062,0.0691089,-0.824697,-0.106927,-0.551059,-0.00158031,-0.000268584,0.00228723,-0.00229267,0.0215519,0.0768824,-0.0176943,0.0735106,0.0474996
1403715276912143104,0.879073,2.18336,0.949153,0.0692558,-0.824556,-0.106853,-0.551266,-0.00277416,0.00458274,-0.00123393,-0.0022936,0.0215528,0.0768797,-0.018096,0.0748572,0.0468629
1403715276962142976,0.878981,2.18357,0.949207,0.0692779,-0.824403,-0.106837,-0.551494,-0.00231311,0.00380586,0.00504733,-0.00229451,0.0215536,0.076877,-0.0184741,0.0762002,0.0462103
1403715277012142848,0.878911,2.18367,0.949372,0.0694275,-0.824359,-0.10672,-0.551563,0.00203676,-0.00352547,0.00397694,-0.0022954,0.0215544,0.0768743,-0.0187718,0.0775081,0.0456468
1403715277062142976,0.879109,2.18353,0.949416,0.0694208,-0.824547,-0.106696,-0.551289,0.00453521,-0.00236671,0.00371819,-0.00229628,0.0215552,0.0768717,-0.0189481,0.0787691,0.0452563
1403715277112143104,0.879334,2.18344,0.949403,0.0694593,-0.824481,-0.106699,-0.551382,0.00655357,-0.000537294,0.000600994,-0.00229713,0.021556,0.0768692,-0.0189482,0.0799762,0.0451523
1403715277162142976,0.879752,2.18349,0.949425,0.0694823,-0.82452,-0.106761,-0.551308,0.00628121,0.00109437,0.00248088,-0.00229796,0.0215568,0.0768666,-0.0187297,0.0811117,0.0454136
1403715277212142848,0.879743,2.18346,0.949532,0.0696872,-0.824593,-0.106557,-0.551213,-0.0068112,-0.00164212,0.00178844,-0.00229878,0.0215575,0.0768641,-0.0182835,0.0821502,0.046042
1403715277262142976,0.879566,2.18335,0.949532,0.069437,-0.824659,-0.106603,-0.551136,-0.000615966,0.00119442,-0.00188415,-0.00229958,0.0215583,0.0768616,-0.0176265,0.08307,0.0469674
1403715277312143104,0.879356,2.18327,0.949418,0.0695193,-0.824784,-0.106416,-0.550976,-0.00601333,7.72389e-05,0.000578444,-0.00230038,0.0215592,0.076859,-0.0167761,0.0838919,0.0480973
1403715277362142976,0.879035,2.18325,0.949463,0.0692935,-0.824803,-0.106588,-0.550943,-0.00655399,0.000821294,0.00152588,-0.00230119,0.02156,0.0768564,-0.0157852,0.0846514,0.0493364
1403715277412143104,0.878681,2.18318,0.949478,0.0694649,-0.824733,-0.106463,-0.55105,-0.00636281,-0.00367299,-0.00244373,-0.002302,0.0215609,0.0768539,-0.014741,0.0853595,0.0505751
1403715277462142976,0.87843,2.18305,0.949348,0.0696233,-0.824685,-0.106356,-0.551123,-0.000485772,-0.000863063,-0.00408355,-0.00230281,0.0215618,0.0768513,-0.0137083,0.0860145,0.0517359
1403715277512142848,0.878741,2.18314,0.949447,0.06961,-0.82478,-0.106326,-0.550988,0.00524977,0.00245956,0.0070622,-0.00230361,0.0215628,0.0768488,-0.0127352,0.0866043,0.0527208
1403715277562142976,0.878939,2.18314,0.949754,0.0695507,-0.824607,-0.106468,-0.551226,0.00237375,0.000473757,0.00367693,-0.00230439,0.0215638,0.0768462,-0.0118204,0.0871221,0.0534767
1403715277612143104,0.879067,2.18316,0.94964,0.0697359,-0.824723,-0.106397,-0.551043,0.00681676,0.000530886,-0.00323738,-0.00230514,0.0215648,0.0768437,-0.0109343,0.0875629,0.0540098
1403715277662142976,0.879232,2.18326,0.949653,0.0699368,-0.824686,-0.106201,-0.551111,0.000546216,-0.000604737,0.00421926,-0.00230588,0.0215658,0.0768413,-0.0100659,0.0878979,0.0543571
1403715277712142848,0.879176,2.18327,0.94998,0.0699613,-0.824695,-0.106236,-0.551088,-0.00169897,0.00180522,0.00797924,-0.00230661,0.0215668,0.0768389,-0.00918132,0.0881158,0.0545907
1403715277762142976,0.879042,2.18341,0.950216,0.0700718,-0.824658,-0.106151,-0.551145,-0.00412927,0.00336373,-0.00201276,-0.00230734,0.0215678,0.0768365,-0.00827614,0.0882347,0.0547542
1403715277812143104,0.878842,2.18347,0.950161,0.0697754,-0.82465,-0.106358,-0.551155,-0.00336953,5.48799e-05,-0.00538966,-0.00230807,0.0215689,0.0768341,-0.00737873,0.0882626,0.0548488
1403715277862142976,0.878711,2.18331,0.950018,0.0701527,-0.824968,-0.10591,-0.550718,-0.00281843,-0.00339932,0.00226148,-0.00230881,0.02157,0.0768318,-0.0064968,0.0882004,0.0549
1403715277912143104,0.878593,2.18323,0.950267,0.0696991,-0.824844,-0.10628,-0.550889,-0.00179749,-0.000765642,0.00323863,-0.00230954,0.0215711,0.0768295,-0.00562926,0.0880782,0.0549217
1403715277962142976,0.878576,2.18314,0.950548,0.0700728,-0.824707,-0.106074,-0.551086,0.00193454,-0.000604045,0.00735275,-0.00231026,0.0215722,0.0768273,-0.00475647,0.0879536,0.054959
1403715278012142848,0.878809,2.183,0.950657,0.0701612,-0.824926,-0.106011,-0.550759,0.00425584,-0.00080173,-0.00114938,-0.002311,0.0215733,0.0768251,-0.00388642,0.0878648,0.0550223
1403715278062142976,0.878984,2.18304,0.950666,0.0699705,-0.824827,-0.106178,-0.5509,0.00212328,0.00487508,0.00691597,-0.00231175,0.0215744,0.0768228,-0.00305746,0.0878265,0.0550794
1403715278112143104,0.879067,2.18319,0.950876,0.0699473,-0.824649,-0.106057,-0.551192,0.00308678,0.00400923,0.00792674,-0.0023125,0.0215756,0.0768206,-0.00230044,0.0878019,0.0551183
1403715278162142976,0.879257,2.18339,0.951116,0.0702648,-0.824871,-0.105941,-0.550842,0.00545695,0.00140916,-0.00374701,-0.00231325,0.0215767,0.0768184,-0.00161866,0.0877502,0.0551637
1403715278212142848,0.879601,2.18347,0.951245,0.0702984,-0.824795,-0.105997,-0.55094,0.00156917,0.000833231,-0.00251474,-0.002314,0.0215778,0.0768162,-0.00102524,0.0876404,0.0552885
1403715278262142976,0.879519,2.18341,0.951212,0.0698591,-0.824547,-0.106031,-0.551361,-0.000622672,-0.0013074,-0.000654885,-0.00231476,0.0215789,0.076814,-0.000559258,0.0874445,0.0555324
1403715278312143104,0.879482,2.18332,0.951715,0.0696108,-0.824381,-0.105209,-0.551798,0.00166249,-0.000840254,0.0140636,-0.00231553,0.02158,0.0768118,-0.000261877,0.0871725,0.0559427
1403715278362142976,0.879606,2.18306,0.952654,0.0687912,-0.824008,-0.104479,-0.552596,0.00460667,-0.00988709,0.0185169,-0.00231633,0.0215812,0.0768096,-0.000169546,0.0868764,0.0565439
1403715278412143104,0.880214,2.18294,0.953597,0.0679144,-0.823822,-0.104227,-0.55303,0.0195147,0.00511404,0.013921,-0.00231716,0.0215824,0.0768075,-0.000361364,0.0865879,0.0573402
1403715278462142976,0.881821,2.18334,0.954399,0.0683489,-0.823102,-0.103013,-0.554274,0.0446824,0.0138804,0.0236458,-0.00231803,0.0215836,0.0768052,-0.000948372,0.0863384,0.0582762
1403715278512142848,0.884562,2.18433,0.95544,0.0684992,-0.821961,-0.101847,-0.556161,0.0688762,0.0301445,0.0349787,-0.00231893,0.0215848,0.076803,-0.00201357,0.0861748,0.0592415
1403715278562142976,0.888383,2.18611,0.958044,0.0695212,-0.819253,-0.100174,-0.560319,0.0851315,0.0393558,0.064028,-0.00231982,0.0215861,0.0768007,-0.00357959,0.0861199,0.0601388
1403715278612143104,0.893209,2.18848,0.962522,0.0707215,-0.816582,-0.0985483,-0.564341,0.108748,0.0578312,0.117156,-0.0023207,0.0215874,0.0767984,-0.00560831,0.0861759,0.0609051
1403715278662142976,0.89909,2.19156,0.969273,0.0699685,-0.815233,-0.0987679,-0.566343,0.124813,0.0672094,0.154717,-0.00232153,0.0215887,0.0767961,-0.00798987,0.0863625,0.0615
1403715278712142848,0.905808,2.19544,0.978907,0.0719264,-0.814039,-0.0969603,-0.568125,0.140982,0.0842616,0.221526,-0.00232229,0.0215901,0.0767939,-0.0105427,0.0867049,0.0619159
1403715278762142976,0.913299,2.19971,0.991778,0.0739223,-0.81187,-0.0954675,-0.571216,0.155789,0.0859079,0.282658,-0.00232298,0.0215914,0.0767916,-0.0130411,0.0871864,0.0621586
1403715278812143104,0.921233,2.20421,1.00713,0.075319,-0.810195,-0.0947077,-0.573535,0.164929,0.093693,0.334727,-0.0023236,0.0215928,0.0767893,-0.0152811,0.0877724,0.062208
1403715278862142976,0.929498,2.20874,1.02503,0.0770959,-0.808186,-0.0938524,-0.576267,0.163578,0.0875041,0.37802,-0.00232416,0.0215943,0.0767871,-0.0171031,0.0884459,0.0620809
1403715278912143104,0.937427,2.21292,1.04403,0.0774655,-0.807707,-0.0937299,-0.576908,0.155817,0.0796387,0.386448,-0.00232468,0.0215957,0.0767848,-0.0183815,0.0892035,0.0618504
1403715278962142976,0.944931,2.21687,1.06269,0.077286,-0.807063,-0.0938051,-0.577821,0.147549,0.0777781,0.350145,-0.00232519,0.0215972,0.0767827,-0.0190662,0.0900261,0.0615779
1403715279012142848,0.952027,2.2203,1.07779,0.0764281,-0.806734,-0.0943433,-0.578307,0.136754,0.0698118,0.249143,-0.00232571,0.0215987,0.0767805,-0.0191988,0.0908796,0.0613052
1403715279062142976,0.958607,2.22356,1.08785,0.0760303,-0.806892,-0.094545,-0.578105,0.131323,0.0652364,0.148897,-0.00232628,0.0216002,0.0767783,-0.0189069,0.0917306,0.0610501
1403715279112143104,0.964914,2.22659,1.09262,0.0757054,-0.806781,-0.0946594,-0.578284,0.119503,0.0582928,0.037255,-0.00232691,0.0216017,0.0767762,-0.0183852,0.0925487,0.0608005
1403715279162142976,0.970614,2.2294,1.09237,0.074999,-0.806977,-0.0953946,-0.577982,0.109112,0.0528941,-0.0450079,-0.00232759,0.0216033,0.076774,-0.0178414,0.093332,0.0605776
1403715279212142848,0.975736,2.23181,1.0888,0.0742211,-0.807431,-0.0959669,-0.577353,0.0979533,0.0468412,-0.086613,-0.00232829,0.0216049,0.0767719,-0.0174267,0.0940913,0.0604078
1403715279262142976,0.98075,2.23425,1.08431,0.0740737,-0.807776,-0.0964639,-0.576807,0.0965332,0.0513528,-0.0993759,-0.00232899,0.0216065,0.0767698,-0.017238,0.0948397,0.0602782
1403715279312143104,0.985195,2.23651,1.07982,0.074063,-0.808503,-0.0965817,-0.575769,0.0809432,0.0388744,-0.0861366,-0.00232969,0.0216082,0.0767677,-0.0173203,0.0955864,0.0601849
1403715279362142976,0.989119,2.23858,1.07628,0.0744888,-0.80932,-0.0961853,-0.574631,0.0761482,0.0423545,-0.0610949,-0.00233037,0.0216099,0.0767656,-0.017711,0.096335,0.0600871
1403715279412143104,0.992671,2.24053,1.07393,0.0755001,-0.809541,-0.0957186,-0.574265,0.0658053,0.0343703,-0.0372532,-0.00233103,0.0216116,0.0767635,-0.0184081,0.0970997,0.0599594
1403715279462142976,0.995814,2.24199,1.07249,0.0758062,-0.810321,-0.0957514,-0.573119,0.0593346,0.0273537,-0.0122629,-0.00233164,0.0216134,0.0767614,-0.0193943,0.0978756,0.0597789
1403715279512142848,0.998639,2.24328,1.07246,0.0763042,-0.810596,-0.0956684,-0.572677,0.0536115,0.0256323,0.00726688,-0.00233218,0.0216151,0.0767593,-0.0206195,0.0986392,0.0595306
1403715279562142976,1.0013,2.24452,1.07362,0.0758356,-0.810459,-0.0961695,-0.572849,0.0495393,0.0208642,0.0314578,-0.00233263,0.0216169,0.0767573,-0.0219966,0.0993485,0.0592421
1403715279612143104,1.00356,2.24558,1.07575,0.0756653,-0.81089,-0.0962363,-0.57225,0.0403318,0.017637,0.0554268,-0.00233299,0.0216186,0.0767553,-0.0234232,0.0999644,0.0589924
1403715279662142976,1.00554,2.24632,1.07874,0.0757092,-0.811107,-0.0964838,-0.571895,0.0435756,0.0131029,0.0722235,-0.00233328,0.0216204,0.0767533,-0.0248062,0.100469,0.0588204
1403715279712142848,1.00754,2.24695,1.08257,0.075808,-0.810996,-0.096416,-0.572051,0.0382155,0.0131968,0.0841169,-0.0023335,0.0216222,0.0767513,-0.0260995,0.100844,0.0587109
1403715279762142976,1.00928,2.2475,1.08734,0.07595,-0.811124,-0.0963775,-0.571858,0.0293584,0.00622198,0.101943,-0.00233368,0.0216239,0.0767494,-0.02731,0.101068,0.0586278
1403715279812143104,1.0106,2.2477,1.09278,0.0762862,-0.811342,-0.0959954,-0.571567,0.0223734,0.00225825,0.119026,-0.00233382,0.0216257,0.0767474,-0.0284595,0.101175,0.0585445
1403715279862142976,1.0115,2.24752,1.09891,0.0763411,-0.81161,-0.0961223,-0.571158,0.0158347,-0.00534021,0.127534,-0.0023339,0.0216276,0.0767455,-0.0295533,0.10122,0.0584666
1403715279912143104,1.01222,2.2472,1.1057,0.0761718,-0.812092,-0.0961626,-0.570488,0.013441,-0.00827418,0.13859,-0.00233392,0.0216294,0.0767436,-0.0306,0.101261,0.0583688
